Rack,Source,Rack,Destination,Volume,Tool
1,A4,1,C6,10,TS_50
1,B2,1,C6,10,TS_50
1,B6,1,C6,10,TS_50
1,C4,1,C6,10,TS_50
1,D3,1,C6,10,TS_50
1,D6,1,C6,10,TS_50
1,A5,1,D6,10,TS_50
1,B3,1,D6,10,TS_50
1,C1,1,D6,10,TS_50
1,C5,1,D6,10,TS_50
1,D2,1,D6,10,TS_50
1,D6,1,D6,10,TS_50
1,A4,1,E6,10,TS_50
1,B2,1,E6,10,TS_50
1,B6,1,E6,10,TS_50
1,C5,1,E6,10,TS_50
1,D3,1,E6,10,TS_50
1,D6,1,E6,10,TS_50
1,A4,1,F6,10,TS_50
1,B2,1,F6,10,TS_50
1,C1,1,F6,10,TS_50
1,C5,1,F6,10,TS_50
1,D3,1,F6,10,TS_50
1,D7,1,F6,10,TS_50
1,A5,1,G6,10,TS_50
1,B2,1,G6,10,TS_50
1,B6,1,G6,10,TS_50
1,C4,1,G6,10,TS_50
1,D2,1,G6,10,TS_50
1,D6,1,G6,10,TS_50
1,A5,1,B7,10,TS_50
1,B2,1,B7,10,TS_50
1,C1,1,B7,10,TS_50
1,C5,1,B7,10,TS_50
1,D3,1,B7,10,TS_50
1,D6,1,B7,10,TS_50
1,A5,1,C7,10,TS_50
1,B3,1,C7,10,TS_50
1,B6,1,C7,10,TS_50
1,C4,1,C7,10,TS_50
1,D2,1,C7,10,TS_50
1,D7,1,C7,10,TS_50
1,A5,1,D7,10,TS_50
1,B3,1,D7,10,TS_50
1,B6,1,D7,10,TS_50
1,C4,1,D7,10,TS_50
1,D3,1,D7,10,TS_50
1,D6,1,D7,10,TS_50
1,A4,1,E7,10,TS_50
1,B2,1,E7,10,TS_50
1,C1,1,E7,10,TS_50
1,C4,1,E7,10,TS_50
1,D3,1,E7,10,TS_50
1,D7,1,E7,10,TS_50
1,A5,1,F7,10,TS_50
1,B2,1,F7,10,TS_50
1,B6,1,F7,10,TS_50
1,C5,1,F7,10,TS_50
1,D3,1,F7,10,TS_50
1,D7,1,F7,10,TS_50
1,A3,1,G7,10,TS_50
1,B1,1,G7,10,TS_50
1,B5,1,G7,10,TS_50
1,C3,1,G7,10,TS_50
1,D1,1,G7,10,TS_50
1,D5,1,G7,10,TS_50
1,A4,1,B8,10,TS_50
1,B2,1,B8,10,TS_50
1,C1,1,B8,10,TS_50
1,C5,1,B8,10,TS_50
1,D2,1,B8,10,TS_50
1,D6,1,B8,10,TS_50
1,A4,1,C8,10,TS_50
1,B3,1,C8,10,TS_50
1,C1,1,C8,10,TS_50
1,C5,1,C8,10,TS_50
1,D2,1,C8,10,TS_50
1,D7,1,C8,10,TS_50
1,A4,1,D8,10,TS_50
1,B2,1,D8,10,TS_50
1,B6,1,D8,10,TS_50
1,C4,1,D8,10,TS_50
1,D3,1,D8,10,TS_50
1,D7,1,D8,10,TS_50
1,A3,1,E8,10,TS_50
1,B1,1,E8,10,TS_50
1,B5,1,E8,10,TS_50
1,C3,1,E8,10,TS_50
1,D1,1,E8,10,TS_50
1,D5,1,E8,10,TS_50
1,A5,1,F8,10,TS_50
1,B3,1,F8,10,TS_50
1,B6,1,F8,10,TS_50
1,C5,1,F8,10,TS_50
1,D3,1,F8,10,TS_50
1,D7,1,F8,10,TS_50
1,A4,1,G8,10,TS_50
1,B3,1,G8,10,TS_50
1,C1,1,G8,10,TS_50
1,C5,1,G8,10,TS_50
1,D3,1,G8,10,TS_50
1,D7,1,G8,10,TS_50
1,A4,1,B9,10,TS_50
1,B3,1,B9,10,TS_50
1,C1,1,B9,10,TS_50
1,C4,1,B9,10,TS_50
1,D2,1,B9,10,TS_50
1,D6,1,B9,10,TS_50
1,A4,1,C9,10,TS_50
1,B2,1,C9,10,TS_50
1,C1,1,C9,10,TS_50
1,C4,1,C9,10,TS_50
1,D2,1,C9,10,TS_50
1,D7,1,C9,10,TS_50
1,A4,1,D9,10,TS_50
1,B3,1,D9,10,TS_50
1,B6,1,D9,10,TS_50
1,C5,1,D9,10,TS_50
1,D2,1,D9,10,TS_50
1,D7,1,D9,10,TS_50
1,A4,1,E9,10,TS_50
1,B3,1,E9,10,TS_50
1,C1,1,E9,10,TS_50
1,C5,1,E9,10,TS_50
1,D2,1,E9,10,TS_50
1,D6,1,E9,10,TS_50
1,A3,1,F9,10,TS_50
1,B1,1,F9,10,TS_50
1,B5,1,F9,10,TS_50
1,C3,1,F9,10,TS_50
1,D1,1,F9,10,TS_50
1,D5,1,F9,10,TS_50
1,A3,1,G9,10,TS_50
1,B1,1,G9,10,TS_50
1,B5,1,G9,10,TS_50
1,C3,1,G9,10,TS_50
1,D1,1,G9,10,TS_50
1,D5,1,G9,10,TS_50
1,A4,1,B10,10,TS_50
1,B2,1,B10,10,TS_50
1,B6,1,B10,10,TS_50
1,C5,1,B10,10,TS_50
1,D3,1,B10,10,TS_50
1,D7,1,B10,10,TS_50
1,A5,1,C10,10,TS_50
1,B2,1,C10,10,TS_50
1,C1,1,C10,10,TS_50
1,C5,1,C10,10,TS_50
1,D2,1,C10,10,TS_50
1,D6,1,C10,10,TS_50
1,A4,1,D10,10,TS_50
1,B2,1,D10,10,TS_50
1,B6,1,D10,10,TS_50
1,C5,1,D10,10,TS_50
1,D2,1,D10,10,TS_50
1,D6,1,D10,10,TS_50
1,A4,1,E10,10,TS_50
1,B3,1,E10,10,TS_50
1,B6,1,E10,10,TS_50
1,C4,1,E10,10,TS_50
1,D3,1,E10,10,TS_50
1,D6,1,E10,10,TS_50
1,A4,1,F10,10,TS_50
1,B3,1,F10,10,TS_50
1,B6,1,F10,10,TS_50
1,C4,1,F10,10,TS_50
1,D2,1,F10,10,TS_50
1,D7,1,F10,10,TS_50
1,A4,1,G10,10,TS_50
1,B2,1,G10,10,TS_50
1,C1,1,G10,10,TS_50
1,C5,1,G10,10,TS_50
1,D3,1,G10,10,TS_50
1,D6,1,G10,10,TS_50
1,A3,1,B11,10,TS_50
1,B1,1,B11,10,TS_50
1,B5,1,B11,10,TS_50
1,C3,1,B11,10,TS_50
1,D1,1,B11,10,TS_50
1,D5,1,B11,10,TS_50
1,A5,1,C11,10,TS_50
1,B2,1,C11,10,TS_50
1,C1,1,C11,10,TS_50
1,C4,1,C11,10,TS_50
1,D2,1,C11,10,TS_50
1,D6,1,C11,10,TS_50
1,A4,1,D11,10,TS_50
1,B2,1,D11,10,TS_50
1,C1,1,D11,10,TS_50
1,C4,1,D11,10,TS_50
1,D3,1,D11,10,TS_50
1,D6,1,D11,10,TS_50
1,A5,1,E11,10,TS_50
1,B3,1,E11,10,TS_50
1,C1,1,E11,10,TS_50
1,C4,1,E11,10,TS_50
1,D2,1,E11,10,TS_50
1,D7,1,E11,10,TS_50
1,A4,1,F11,10,TS_50
1,B3,1,F11,10,TS_50
1,B6,1,F11,10,TS_50
